season,week,celebrity_name,share_q10,share_q50,share_q90,rel_ci80
20,6,Patti LaBelle,0.0,1e-08,0.011251834226688018,0.011251834226688018
20,7,Nastia Liukin,0.0010370029625051957,0.8184347991182539,1.0,0.9989629970374948
20,7,Willow Shields,0.00013947952156512233,0.11076310534936912,0.2213867311771731,0.221247251655608
20,7,Noah Galloway,5.068032959310714e-05,0.0407474692983395,0.0814442582670859,0.0813935779374928
20,7,Riker Lynch,1.8012932473976048e-05,0.014990156234623637,0.029962299536773297,0.02994428660429932
20,7,Rumer Willis,1.8012932473976048e-05,0.014990156234623637,0.029962299536773297,0.02994428660429932
20,7,Robert Herjavec,0.0,3.715688239514213e-05,7.52653713096853e-05,7.52653713096853e-05
20,7,Chris Soules,0.0,3.715688239514213e-05,7.52653713096853e-05,7.52653713096853e-05
20,8,Rumer Willis,0.0,0.6465095811142051,1.0,1.0
20,8,Riker Lynch,0.0,0.2261822994153608,0.47049373866707284,0.47049373866707284
20,8,Nastia Liukin,0.0,0.07155253391487856,0.16143032097744428,0.16143032097744428
20,8,Noah Galloway,0.05561944253771662,0.05575556555555557,0.055891688573394514,0.00027224603567789496
20,8,Robert Herjavec,0.0,1.0000000007015031e-08,8.296575412427507e-05,8.296575412427507e-05
20,8,Chris Soules,0.0,1e-08,0.00022379101643026927,0.00022379101643026927
20,9,Riker Lynch,0.0005056603955459482,0.39948630465030277,0.7984669489050595,0.7979612885095135
20,9,Nastia Liukin,0.0005056603955459482,0.39948630465030277,0.7984669489050595,0.7979612885095135
20,9,Rumer Willis,0.00018539074488085894,0.14696279851039795,0.293740206275915,0.29355481553103413
20,9,Noah Galloway,6.757012477000279e-05,0.05406459218899647,0.10806161425322294,0.10799404412845294
20,10,Riker Lynch,0.0006273849379065388,0.4954626425778431,0.9902979002177796,0.989670515279873
20,10,Rumer Willis,0.0006273849379065388,0.4954626425778431,0.9902979002177796,0.989670515279873
20,10,Noah Galloway,1.0510516653107482e-05,0.009074714844313747,0.018138919171974386,0.01812840865532128
21,1,Bindi Irwin,0.0004072802893074212,0.3219163903291094,0.6434255003689113,0.643018220079604
21,1,Nick Carter,0.0004072802893074212,0.3219163903291094,0.6434255003689113,0.643018220079604
21,1,Tamar Braxton,0.0001491987263754213,0.11842642177820065,0.23670364483002587,0.23655444610365045
21,1,Carlos PenaVega,0.0001491987263754213,0.11842642177820065,0.23670364483002587,0.23655444610365045
21,1,Alek Skarlatos,5.425582522736172e-05,0.04356664586369799,0.08707903590216862,0.08702478007694125
21,1,Alexa PenaVega,5.425582522736172e-05,0.04356664586369799,0.08707903590216862,0.08702478007694125
21,1,Andy Grammer,1.932828380981147e-05,0.016027273334051344,0.03203521838429288,0.03201589010048307
21,1,Hayes Grier,1.932828380981147e-05,0.016027273334051344,0.03203521838429288,0.03201589010048307
21,1,Gary Busey,0.0,3.972763866280646e-05,8.040362341502717e-05,8.040362341502717e-05
21,1,Victor Espinoza,0.0,3.972763866280646e-05,8.040362341502717e-05,8.040362341502717e-05
21,1,Paula Deen,0.0,3.972763866280646e-05,8.040362341502717e-05,8.040362341502717e-05
21,1,Chaka Khan,0.0,5.3765512307527165e-06,1.1745015230869605e-05,1.1745015230869605e-05
21,1,Kim Zolciak-Biermann,0.0,1.9779226621989397e-06,4.95206849480562e-06,4.95206849480562e-06
21,2,Tamar Braxton,0.0,0.38035762403430545,0.7861931218753619,0.7861931218753619
21,2,Bindi Irwin,0.0,0.22047141146381324,0.4666234766744667,0.4666234766744667
21,2,Gary Busey,0.2105891847501857,0.21072632578947384,0.21086346682876198,0.0002742820785762712
21,2,Alexa PenaVega,0.0,0.0646766709430272,0.15523158645477392,0.15523158645477392
21,2,Alek Skarlatos,0.0,0.02900123472664741,0.08392596034252128,0.08392596034252128
21,2,Nick Carter,0.0,0.029001234726647406,0.08392596034252127,0.08392596034252127
21,2,Hayes Grier,0.0,0.0290012347266474,0.08392596034252127,0.08392596034252127
21,2,Carlos PenaVega,0.0,0.02900123472664739,0.08392596034252126,0.08392596034252126
21,2,Andy Grammer,0.0,0.007362988862790604,0.04067691189543429,0.04067691189543429
21,2,Paula Deen,0.0,0.00020001000000003082,0.001206971879757004,0.001206971879757004
21,2,Kim Zolciak-Biermann,0.0,0.0002000100000000178,0.001206971879756991,0.001206971879756991
21,2,Victor Espinoza,0.0,1.0000000103156659e-08,0.0010069718797570764,0.0010069718797570764
21,2,Chaka Khan,0.0,1.0000000000001598e-08,3.138618661330435e-05,3.138618661330435e-05
21,3,Alexa PenaVega,0.0005949860550502062,0.4699170453697287,0.9392391046844073,0.938644118629357
21,3,Nick Carter,0.0005949860550502062,0.4699170453697287,0.9392391046844073,0.938644118629357
21,3,Alek Skarlatos,2.8673603601890585e-05,0.02339579206504731,0.04676291052649273,0.04673423692289084
21,3,Tamar Braxton,2.8673603601890585e-05,0.02339579206504731,0.04676291052649273,0.04673423692289084
21,3,Bindi Irwin,9.917110414313021e-06,0.008606830910652867,0.017203744710891422,0.017193827600477107
21,3,Carlos PenaVega,3.0169821821296808e-06,0.003166276145668073,0.0063295353091540165,0.006326518326971887
21,3,Hayes Grier,4.78566864062788e-07,0.001164807899062839,0.002329137231261615,0.0023286586643975525
21,3,Andy Grammer,0.0,0.00042850887897931904,0.0008574730219032468,0.0008574730219032468
21,3,Gary Busey,0.0,7.848413888001503e-06,1.668560553983114e-05,1.668560553983114e-05
21,3,Paula Deen,0.0,5.288219680424044e-08,1.1044290477687347e-06,1.1044290477687347e-06
21,4,Bindi Irwin,0.0005809283636564744,0.45883295572335026,0.9170849830830441,0.9165040547193877
21,4,Hayes Grier,0.00021308028292743586,0.16879521134254724,0.33737734240216705,0.3371642621192396
21,4,Nick Carter,0.00021308028292743586,0.16879521134254724,0.33737734240216705,0.3371642621192396
21,4,Tamar Braxton,0.00021308028292743586,0.16879521134254724,0.33737734240216705,0.3371642621192396
21,4,Carlos PenaVega,2.797371235937346e-05,0.022843947736027527,0.04565992175969568,0.04563194804733631
21,4,Alek Skarlatos,9.65963481513489e-06,0.008403818727279442,0.01679797781974375,0.016788318184928618
21,4,Andy Grammer,2.9222622025888885e-06,0.003091592137097663,0.006180262011992737,0.006177339749790149
21,4,Alexa PenaVega,0.0,0.00041840149752619694,0.0008372710779522619,0.0008372710779522619
